Subject ID,Recording ID,ROI,Extraction Method,Signal,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T2.avi,manual,Best_ICA_1,,33,25.24,32.69,-0.163,0.366,-20.22,26.09,-71.35,30.92,89.45,92.59,109.66,102.87,-20.22,-19.52,20.39
s28,vid_s28_T2.avi,manual,ICA_2,,33,28.23,34.28,-0.054,0.767,-23.11,25.71,-73.5,27.27,86.55,88.72,109.66,102.87,-23.11,-23.02,25.21
s28,vid_s28_T2.avi,manual,ICA_3,,33,29.54,36.83,0.125,0.488,-28.91,23.17,-74.31,16.5,80.76,80.6,109.66,102.87,-28.91,-21.7,21.7
s28,vid_s28_T2.avi,manual,CHROM,,33,24.03,31.56,-0.327,0.063,-18.84,25.7,-69.22,31.54,90.82,91.35,109.66,102.87,-18.84,-15.63,15.85
s28,vid_s28_T2.avi,manual,POS,,33,21.88,29.29,-0.153,0.396,-16.14,24.83,-64.8,32.52,93.53,93.1,109.66,102.87,-16.14,-13.36,15.58
s28,vid_s28_T2.avi,none,R,,33,28.27,35.75,0.035,0.846,-26.36,24.54,-74.45,21.74,83.31,82.98,109.66,102.87,-26.36,-20.25,20.25
s28,vid_s28_T2.avi,none,G,,33,30.26,37.22,0.163,0.364,-29.34,23.26,-74.93,16.25,80.33,77.29,109.66,102.87,-29.34,-22.16,22.16
s28,vid_s28_T2.avi,none,B,,33,31.46,38.22,0.23,0.197,-31.06,22.61,-75.37,13.25,78.6,76.86,109.66,102.87,-31.06,-24.07,24.07
s28,vid_s28_T2.avi,none,GREY_W,,33,29.84,36.88,0.123,0.495,-28.59,23.66,-74.96,17.77,81.07,77.86,109.66,102.87,-28.59,-22.08,22.08
s28,vid_s28_T2.avi,none,GREY_A,,33,30.07,37.04,0.131,0.467,-28.87,23.56,-75.05,17.3,80.79,77.38,109.66,102.87,-28.87,-22.55,22.55
