subject,recording,video,roi,mae,rmse,r,bias,sd,mean_gt,mean_rppg,mean_pair,diff,failure
6k5f,6k5f_Counting3,6k5f|6k5f_Counting3,poly,2.99,3.49,0.593,2.99,1.87,73.19,76.17,74.68,-2.980000000000004,0
6k5f,6k5f_Math,6k5f|6k5f_Math,poly,5.61,7.24,0.67,5.09,5.35,68.94,74.03,71.485,-5.090000000000003,0
6k5f,6k5f_Reading,6k5f|6k5f_Reading,poly,6.7,6.77,0.84,-6.7,0.99,74.19,67.49,70.84,6.700000000000003,0
6k5f,6k5f_Relax,6k5f|6k5f_Relax,poly,10.47,11.6,-0.36,10.15,5.69,64.55,74.7,69.625,-10.150000000000006,1
6k5f,6k5f_Speaking,6k5f|6k5f_Speaking,poly,12.05,14.22,-0.475,-9.27,11.19,70.36,61.09,65.725,9.269999999999996,1
6k5f,6k5f_Stroop,6k5f|6k5f_Stroop,poly,18.1,18.11,-0.296,-18.1,0.59,68.12,50.02,59.07000000000001,18.1,1
6k5f,6k5f_Video1,6k5f|6k5f_Video1,poly,9.85,12.42,0.097,9.55,8.02,66.76,76.32,71.53999999999999,-9.559999999999988,0
6k5f,6k5f_Video2,6k5f|6k5f_Video2,poly,5.53,6.04,-0.313,5.53,2.47,67.25,72.77,70.00999999999999,-5.519999999999996,0
71i5,71i5_Baseline,71i5|71i5_Baseline,poly,8.91,9.3,0.449,-8.91,2.8,93.33,84.42,88.875,8.909999999999997,0
71i5,71i5_Breathing,71i5|71i5_Breathing,poly,11.51,13.86,-0.236,4.03,13.38,92.11,96.14,94.125,-4.030000000000001,1
71i5,71i5_Counting1,71i5|71i5_Counting1,poly,20.66,20.9,-0.325,-20.66,3.25,95.74,75.08,85.41,20.659999999999997,1
71i5,71i5_Counting2,71i5|71i5_Counting2,poly,17.09,17.31,-0.685,-17.09,2.85,91.69,74.6,83.145,17.090000000000003,1
71i5,71i5_Counting3,71i5|71i5_Counting3,poly,9.17,11.66,-0.581,-5.25,10.83,91.43,86.18,88.805,5.25,0
71i5,71i5_Math,71i5|71i5_Math,poly,3.16,3.55,-0.01,2.87,2.17,96.76,99.62,98.19,-2.8599999999999994,0
